protein,ligand,replicate,affinity
PDE4B_catalytic,no17,2,-6.4
PDE4B_catalytic,no17,3,-6.3
PDE4B_catalytic,no17,1,-6.4
PDE4B_catalytic,107,3,-6.2
PDE4B_catalytic,107,2,-6.2
PDE4B_catalytic,107,1,-6.2
PDE4B_catalytic,rolipram,3,-7.6
PDE4B_catalytic,rolipram,2,-7.6
PDE4B_catalytic,rolipram,1,-7.6
PDE4B_catalytic,104775,2,-3.7
PDE4B_catalytic,104775,3,-3.7
PDE4B_catalytic,104775,1,-3.7
PDE4B_catalytic,49831816,2,-6.7
PDE4B_catalytic,49831816,3,-6.6
PDE4B_catalytic,49831816,1,-6.7
PDE4B_catalytic,no12,3,-6.7
PDE4B_catalytic,no12,2,-6.6
PDE4B_catalytic,no12,1,-6.7
PDE4B_catalytic,no13,3,-6.4
PDE4B_catalytic,no13,1,-6.4
PDE4B_catalytic,no13,2,-6.4
PDE4B_catalytic,348154,3,-6.2
PDE4B_catalytic,348154,1,-6.1
PDE4B_catalytic,348154,2,-6.1
PDE4B_catalytic,6047,3,-6.2
PDE4B_catalytic,6047,2,-6.2
PDE4B_catalytic,6047,1,-6.2
PDE4B_catalytic,10559720,3,-6.6
PDE4B_catalytic,10559720,2,-6.6
PDE4B_catalytic,10559720,1,-6.6
PDE4B_catalytic,roflumilast,1,-8.1
PDE4B_catalytic,roflumilast,2,-8.0
PDE4B_catalytic,roflumilast,3,-8.0
PDE4B_catalytic,no7,1,-7.1
PDE4B_catalytic,no7,2,-6.8
PDE4B_catalytic,no7,3,-7.0
PDE4B_catalytic2,no17,2,-6.4
PDE4B_catalytic2,no17,3,-6.3
PDE4B_catalytic2,no17,1,-6.4
PDE4B_catalytic2,107,3,-6.1
PDE4B_catalytic2,107,2,-6.2
PDE4B_catalytic2,107,1,-6.2
PDE4B_catalytic2,rolipram,3,-7.4
PDE4B_catalytic2,rolipram,2,-7.6
PDE4B_catalytic2,rolipram,1,-7.4
PDE4B_catalytic2,104775,2,-3.7
PDE4B_catalytic2,104775,3,-3.7
PDE4B_catalytic2,104775,1,-3.7
PDE4B_catalytic2,49831816,2,-6.7
PDE4B_catalytic2,49831816,3,-6.7
PDE4B_catalytic2,49831816,1,-6.7
PDE4B_catalytic2,no12,3,-6.7
PDE4B_catalytic2,no12,2,-6.7
PDE4B_catalytic2,no12,1,-6.7
PDE4B_catalytic2,no13,3,-6.4
PDE4B_catalytic2,no13,1,-6.4
PDE4B_catalytic2,no13,2,-6.4
PDE4B_catalytic2,348154,3,-6.1
PDE4B_catalytic2,348154,1,-6.1
PDE4B_catalytic2,348154,2,-6.2
PDE4B_catalytic2,6047,3,-6.2
PDE4B_catalytic2,6047,2,-6.2
PDE4B_catalytic2,6047,1,-6.2
PDE4B_catalytic2,10559720,3,-6.6
PDE4B_catalytic2,10559720,2,-6.6
PDE4B_catalytic2,10559720,1,-6.6
PDE4B_catalytic2,roflumilast,1,-8.1
PDE4B_catalytic2,roflumilast,2,-8.1
PDE4B_catalytic2,roflumilast,3,-8.1
PDE4B_catalytic2,no7,1,-7.0
PDE4B_catalytic2,no7,2,-7.1
PDE4B_catalytic2,no7,3,-7.1
PDE4B_monomer,no17,2,-6.7
PDE4B_monomer,no17,3,-6.7
PDE4B_monomer,no17,1,-6.8
PDE4B_monomer,107,3,-6.4
PDE4B_monomer,107,2,-6.4
PDE4B_monomer,107,1,-6.4
PDE4B_monomer,rolipram,3,-7.4
PDE4B_monomer,rolipram,2,-7.5
PDE4B_monomer,rolipram,1,-7.4
PDE4B_monomer,104775,2,-4.0
PDE4B_monomer,104775,3,-4.0
PDE4B_monomer,104775,1,-4.0
PDE4B_monomer,49831816,2,-6.7
PDE4B_monomer,49831816,3,-6.6
PDE4B_monomer,49831816,1,-6.6
PDE4B_monomer,no12,3,-6.9
PDE4B_monomer,no12,2,-6.9
PDE4B_monomer,no12,1,-6.9
PDE4B_monomer,no13,3,-6.9
PDE4B_monomer,no13,1,-6.9
PDE4B_monomer,no13,2,-6.9
PDE4B_monomer,348154,3,-6.6
PDE4B_monomer,348154,1,-6.7
PDE4B_monomer,348154,2,-6.7
PDE4B_monomer,6047,3,-6.8
PDE4B_monomer,6047,2,-6.8
PDE4B_monomer,6047,1,-6.8
PDE4B_monomer,10559720,3,-6.3
PDE4B_monomer,10559720,2,-6.3
PDE4B_monomer,10559720,1,-6.5
PDE4B_monomer,roflumilast,1,-8.0
PDE4B_monomer,roflumilast,2,-8.0
PDE4B_monomer,roflumilast,3,-8.1
PDE4B_monomer,no7,1,-6.6
PDE4B_monomer,no7,2,-6.6
PDE4B_monomer,no7,3,-6.6
PDE4D_catalytic,no17,2,-7.1
PDE4D_catalytic,no17,3,-7.1
PDE4D_catalytic,no17,1,-7.1
PDE4D_catalytic,107,3,-6.6
PDE4D_catalytic,107,2,-6.6
PDE4D_catalytic,107,1,-6.6
PDE4D_catalytic,rolipram,3,-9.0
PDE4D_catalytic,rolipram,2,-9.0
PDE4D_catalytic,rolipram,1,-9.0
PDE4D_catalytic,104775,2,-4.2
PDE4D_catalytic,104775,3,-4.2
PDE4D_catalytic,104775,1,-4.2
PDE4D_catalytic,49831816,2,-7.2
PDE4D_catalytic,49831816,3,-7.2
PDE4D_catalytic,49831816,1,-7.1
PDE4D_catalytic,no12,3,-7.1
PDE4D_catalytic,no12,2,-7.4
PDE4D_catalytic,no12,1,-7.4
PDE4D_catalytic,no13,3,-6.9
PDE4D_catalytic,no13,1,-7.1
PDE4D_catalytic,no13,2,-7.1
PDE4D_catalytic,348154,3,-6.8
PDE4D_catalytic,348154,1,-6.8
PDE4D_catalytic,348154,2,-6.7
PDE4D_catalytic,6047,3,-6.7
PDE4D_catalytic,6047,2,-6.7
PDE4D_catalytic,6047,1,-6.7
PDE4D_catalytic,10559720,3,-7.0
PDE4D_catalytic,10559720,2,-7.1
PDE4D_catalytic,10559720,1,-6.8
PDE4D_catalytic,roflumilast,1,-9.2
PDE4D_catalytic,roflumilast,2,-9.2
PDE4D_catalytic,roflumilast,3,-9.1
PDE4D_catalytic,no7,1,-7.5
PDE4D_catalytic,no7,2,-7.6
PDE4D_catalytic,no7,3,-7.4
