"Host Species","Gut Microbe (ID)",Rank,"Metabolite (ID)",Evidence,"Evidence Number"
human,Acidaminobacter(65402),genus,"Glutamic Acid(33032, CHEBI:16015)",correlatively,1
human,Acidaminobacter(65402),genus,"Threonine(6288, CHEBI:16857)",correlatively,1
human,"Acidipropionibacterium acidipropionici(1748)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Acidipropionibacterium acidipropionici(1748)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Acinetobacter(469),genus,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,"Acinetobacter baumannii(470)",species,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,Actinomycetota(201174),phylum,"3-Phenylpropionic acid(107, CHEBI:28631)",correlatively,1
human,Actinomycetota(201174),phylum,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally;causally,2
human,"Adlercreutzia equolifaciens(446660)",species,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"3,4-Dihydroxy-trans-stilbene(10176710)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"Dihydroresveratrol(185914, CHEBI:4582)",causally,1
human,"Adlercreutzia equolifaciens(446660)",species,"Equol(91469, CHEBI:34741)",causally;causally,2
human,"Adlercreutzia equolifaciens(446660)",species,"Lunularin(181511, CHEBI:6568)",causally,1
human,"Adlercreutzia equolifaciens subsp. celatus(394340)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally,1
human,"Adlercreutzia equolifaciens subsp. celatus(394340)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,Agathobacter(1766253),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Agathobacter(1766253),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Agathobacter(1766253),genus,"Arachidonic Acid(444899, CHEBI:15843)",correlatively,1
human,"Agathobacter rectalis(39491)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Agathobacter rectalis(39491)",species,"Butyrate(104775, CHEBI:17968)",causally;causally,2
human,Akkermansia(239934),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Akkermansia(239934),genus,"Amylotriose(439586, CHEBI:140999)",correlatively,1
human,Akkermansia(239934),genus,"Creatine(586, CHEBI:16919)",correlatively,1
human,Akkermansia(239934),genus,"Glycocholic acid(10140, CHEBI:17687)",causally,1
human,"Akkermansia muciniphila(239935)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Akkermansia muciniphila(239935)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,Alistipes(239759),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Alistipes(239759),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Alistipes(239759),genus,"Isoallolithocholic acid(94228, CHEBI:166734)",causally,1
human,"Alistipes indistinctus(626932)",species,"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate(613145)",causally,1
human,"Alistipes indistinctus(626932)",species,"Isovaleric acid(10430, CHEBI:28484)",causally,1
human,"Alistipes indistinctus(626932)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Alistipes shahii(328814)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,Allisonella(209879),genus,"procollagen type 1 n-terminal propeptide",causally,1
human,Allisonella(209879),genus,"type I collagen cross-linked c-telopeptide",causally,1
human,"Amedibacillus dolichus(31971)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,"Anaerobutyricum hallii(39488)",species,"7-Hydroxy-5-methyl-3-phenyl-6,7,8,9-tetrahydropyrido[3',2':4,5]imidazo[1,2-a]pyrimidin-5-ium chloride(129849310)",causally,1
human,"Anaerobutyricum hallii(39488)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Anaerobutyricum hallii(39488)",species,"Lithocholic acid(9903, CHEBI:16325)",correlatively,1
human,"Anaerobutyricum hallii(39488)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Anaerostipes hadrus(649756)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Anaerostipes hadrus(649756)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,Anaerotignum(2039240),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Anaerotignum(2039240),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Bacillota(1239),phylum,"3-Phenylpropionic acid(107, CHEBI:28631)",correlatively,1
human,Bacillota(1239),phylum,"Benzoate(242, CHEBI:16150)",correlatively,1
human,"Bacillota bacterium(1879010)",species,"(R)-3-(4-Hydroxyphenyl)lactate(9548632, CHEBI:10980)",causally,1
human,"Bacillota bacterium(1879010)",species,"Ethyl phenyllactate, (-)-(9877619)",causally,1
human,"Bacillus sp. 46(1266601)",species,11-Methoxycurvularin(10381440),causally,1
human,"Bacillus sp. 46(1266601)",species,"Isoquercetin(5280804, CHEBI:68352)",causally,1
human,"Bacillus sp. 46(1266601)",species,"Platycodin D(162859, CHEBI:70436)",causally,1
human,"Bacillus sp. 46(1266601)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Bacillus sp. 46(1266601)",species,"Quercimeritrin(5282160, CHEBI:28529)",causally,1
human,"Bacillus sp. 46(1266601)",species,"Quercitrin(5280459, CHEBI:17558)",causally,1
human,"Bacillus sp. 52",species,"Isoquercetin(5280804, CHEBI:68352)",causally,1
human,"Bacillus sp. 52",species,"Leucocyanidin(71629, CHEBI:15758)",causally,1
human,"Bacteria Latreille et al. 1825(629395)",genus,"Acetate(175, CHEBI:30089)",causally,1
human,"Bacteria Latreille et al. 1825(629395)",genus,"Ethanol(702, CHEBI:16236)",causally,1
human,"Bacteria Latreille et al. 1825(629395)",genus,"Lactate(91435, CHEBI:24996)",causally,1
human,"bacterium MRG-IFC-1(1449386)",strain,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"bacterium MRG-IFC-2(1449387)",strain,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"bacterium MRG-PMF-1(1477104)",strain,"Baohuoside I(5488822, CHEBI:82619)",causally,1
human,"bacterium MRG-PMF-1(1477104)",strain,"Icaritin(5318980, CHEBI:201674)",causally,1
human,Bacteroides(816),genus,"2'-Deoxyguanosine(135398592, CHEBI:17172)",correlatively,1
human,Bacteroides(816),genus,"2'-Deoxyinosine(135398593, CHEBI:28997)",correlatively,1
human,Bacteroides(816),genus,"2-Methylbutyrate(22253297, CHEBI:48946)",causally,1
human,Bacteroides(816),genus,"3-Hydroxy-2-methylbutanoic acid(160471, CHEBI:37051)",correlatively,1
human,Bacteroides(816),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Bacteroides(816),genus,"5-Methoxyindole-3-acetic acid(18986, CHEBI:28281)",correlatively,1
human,Bacteroides(816),genus,"Acetate(175, CHEBI:30089)",correlatively,1
human,Bacteroides(816),genus,"Arachidonic Acid(444899, CHEBI:15843)",correlatively,1
human,Bacteroides(816),genus,"Coumarin(323, CHEBI:28794)",correlatively,1
human,Bacteroides(816),genus,"DL-Aspartic acid(424, CHEBI:22660)",correlatively,1
human,Bacteroides(816),genus,"Hexanoate(4398339, CHEBI:17120)",causally,1
human,Bacteroides(816),genus,"Indole-3-lactic acid(92904, CHEBI:24813)",correlatively,1
human,Bacteroides(816),genus,"Isoallolithocholic acid(94228, CHEBI:166734)",causally,1
human,Bacteroides(816),genus,"Isobutyric acid(6590, CHEBI:16135)",causally,1
human,Bacteroides(816),genus,"Isovalerate(3587356, CHEBI:48942)",causally,1
human,Bacteroides(816),genus,"l-Isoleucine(6306, CHEBI:17191)",causally,1
human,Bacteroides(816),genus,"Melezitose(92817, CHEBI:6731)",correlatively,1
human,Bacteroides(816),genus,"Methionine(6137, CHEBI:16643)",correlatively,1
human,Bacteroides(816),genus,"Oxalacetic acid(970, CHEBI:30744)",causally,1
human,Bacteroides(816),genus,"Palmitoylethanolamide(4671, CHEBI:71464)",correlatively,1
human,Bacteroides(816),genus,"Pantothenic Acid(6613, CHEBI:46905)",correlatively,1
human,Bacteroides(816),genus,"Propionate(104745, CHEBI:17272)",causally;correlatively,2
human,Bacteroides(816),genus,"Succinate(160419, CHEBI:30031)",causally,1
human,Bacteroides(816),genus,"Thymine(1135, CHEBI:17821)",correlatively,1
human,Bacteroides(816),genus,"Xanthine(1188, CHEBI:17712)",correlatively,1
human,"Bacteroides caccae(47678)",species,"(R)-3-(4-Hydroxyphenyl)lactate(9548632, CHEBI:10980)",causally,1
human,"Bacteroides caccae(47678)",species,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,"Bacteroides caccae(47678)",species,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,"Bacteroides caccae(47678)",species,"Ethyl phenyllactate, (-)-(9877619)",causally,1
human,"Bacteroides fragilis(817)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Bacteroides fragilis(817)",species,"Genipin(442424, CHEBI:5298)",causally,1
human,"Bacteroides fragilis(817)",species,"Secoisolariciresinol(65373, CHEBI:65004)",causally,1
human,"Bacteroides ovatus(28116)",species,"Equol(91469, CHEBI:34741)",causally;causally,2
human,"Bacteroides ovatus(28116)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Bacteroides ovatus(28116)",species,"Secoisolariciresinol(65373, CHEBI:65004)",causally,1
human,"Bacteroides sp. 22",species,"Isoquercetin(5280804, CHEBI:68352)",causally,1
human,"Bacteroides sp. 42",species,"Leucocyanidin(71629, CHEBI:15758)",causally,1
human,"Bacteroides sp. 45",species,"3,4-Dihydroxybenzoic acid(72, CHEBI:36062)",causally,1
human,"Bacteroides sp. 45",species,Hydroxyquercitrin(129887767),causally,1
human,"Bacteroides sp. 45",species,"Isoquercetin(5280804, CHEBI:68352)",causally,1
human,"Bacteroides sp. 45",species,"Leucocyanidin(71629, CHEBI:15758)",causally,1
human,"Bacteroides sp. 45",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Bacteroides sp. MANG(298389)",species,"Aglycone(139597845, CHEBI:166892)",causally,1
human,"Bacteroides sp. MANG(298389)",species,"Norathyriol(5281656, CHEBI:7622)",causally,1
human,"Bacteroides stercoris(46506)",species,"20(R)-Ginsenoside Rh2(54580480)",causally,1
human,"Bacteroides stercoris(46506)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Bacteroides stercoris(46506)",species,"Ginsenoside Rh2(119307, CHEBI:77147)",causally,1
human,"Bacteroides stercoris(46506)",species,"Protopanaxadiol(9920281, CHEBI:76237)",causally,1
human,"Bacteroides stercoris HJ-15",species,"(20S)-Protopanaxadiol(11213350, CHEBI:75950)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Asparagine(6267, CHEBI:17196)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Cysteine(5862, CHEBI:17561)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Cystine(67678, CHEBI:16283)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"DL-Alanine(602, CHEBI:16449)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Formate(283, CHEBI:15740)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Glutathione(124886, CHEBI:16856)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Histidine(6274, CHEBI:15971)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Bacteroides thetaiotaomicron(818)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Bacteroides uniformis(820)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Bacteroides uniformis(820)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Barnesiella intestinihominis(487174)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Barnesiella intestinihominis(487174)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Bifidobacteriaceae(31953),family,"3,4-Dihydroxybenzoic acid(72, CHEBI:36062)",causally,1
human,Bifidobacteriaceae(31953),family,"4-Hydroxybenzoic acid(135, CHEBI:30763)",causally,1
human,Bifidobacterium(1678),genus,"(R)-(+)-Lactamide(1530236, CHEBI:182630)",correlatively,1
human,Bifidobacterium(1678),genus,1-O-Caffeoylglycerol(5315606),causally,1
human,Bifidobacterium(1678),genus,"2'-Deoxyinosine(135398593, CHEBI:28997)",correlatively,1
human,Bifidobacterium(1678),genus,"3-(1H-indol-3-yl)propanoate(3292996, CHEBI:82916)",correlatively,1
human,Bifidobacterium(1678),genus,"3-(3-Hydroxyphenyl)propanoic acid(91, CHEBI:1427)",causally,1
human,Bifidobacterium(1678),genus,"3-Hydroxyphenethyl alcohol(83404)",causally,1
human,Bifidobacterium(1678),genus,"6-[(4R,5S)-5-methyl-2-oxoimidazolidin-4-yl]hexanoic acid(445027, CHEBI:42280)",correlatively,1
human,Bifidobacterium(1678),genus,"7-Aminoheptanoic acid(13580, CHEBI:181436)",correlatively,1
human,Bifidobacterium(1678),genus,"Acetate(175, CHEBI:30089)",causally,1
human,Bifidobacterium(1678),genus,"Allocholic acid(160636, CHEBI:81308)",correlatively,1
human,Bifidobacterium(1678),genus,"Caffeic Acid(689043, CHEBI:16433)",causally,1
human,Bifidobacterium(1678),genus,"D-Methionine(84815, CHEBI:16867)",correlatively,1
human,Bifidobacterium(1678),genus,"Dehydroxychlorogenic acid",causally,1
human,Bifidobacterium(1678),genus,"Dihydrocaffeic acid(348154, CHEBI:48400)",causally,1
human,Bifidobacterium(1678),genus,Dihydrocaffeoyl-glycerol,causally,1
human,Bifidobacterium(1678),genus,"Dihydrochlorogenic acid",causally,1
human,Bifidobacterium(1678),genus,"DL-Norvaline(824, CHEBI:19475)",correlatively,1
human,Bifidobacterium(1678),genus,"Folic Acid(135398658, CHEBI:27470)",causally,1
human,Bifidobacterium(1678),genus,"Formate(283, CHEBI:15740)",causally,1
human,Bifidobacterium(1678),genus,"Lactate(91435, CHEBI:24996)",causally;causally,2
human,Bifidobacterium(1678),genus,"Leucylproline(80817, CHEBI:73580)",correlatively,1
human,Bifidobacterium(1678),genus,"Methionine(6137, CHEBI:16643)",correlatively,1
human,Bifidobacterium(1678),genus,"n,n,n-Trimethyllysine(159660, CHEBI:176482)",correlatively,1
human,Bifidobacterium(1678),genus,"N-acetylornithine(439232, CHEBI:16543)",correlatively,1
human,Bifidobacterium(1678),genus,"N-acetylputrescine(122356, CHEBI:17768)",correlatively,1
human,Bifidobacterium(1678),genus,"Phenylacetic Acid(999, CHEBI:30745)",causally,1
human,Bifidobacterium(1678),genus,"Propylene Glycol(1030, CHEBI:16997)",causally,1
human,Bifidobacterium(1678),genus,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Bifidobacterium adolescentis(1680)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Bifidobacterium adolescentis(1680)",species,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,"Bifidobacterium adolescentis(1680)",species,"Daidzein(5281708, CHEBI:28197)",causally;causally,2
human,"Bifidobacterium adolescentis(1680)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Bifidobacterium adolescentis(1680)",species,"Glycitein(5317750, CHEBI:34778)",causally,1
human,"Bifidobacterium adolescentis(1680)",species,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,"Bifidobacterium animalis(28025)",species,"Caffeic Acid(689043, CHEBI:16433)",causally,1
human,"Bifidobacterium animalis(28025)",species,"Quinic acid(6508, CHEBI:17521)",causally,1
human,"Bifidobacterium animalis subsp. lactis(302911)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"Bifidobacterium bifidum(1681)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"Bifidobacterium bifidum(1681)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Bifidobacterium breve(1685)",species,"Daidzein(5281708, CHEBI:28197)",causally;causally,2
human,"Bifidobacterium breve(1685)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Bifidobacterium breve(1685)",species,"Glycitein(5317750, CHEBI:34778)",causally,1
human,"Bifidobacterium breve(1685)",species,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,"Bifidobacterium catenulatum(1686)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"Bifidobacterium catenulatum(1686)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Bifidobacterium catenulatum(1686)",species,"Glycitein(5317750, CHEBI:34778)",causally,1
human,"Bifidobacterium catenulatum(1686)",species,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,"Bifidobacterium catenulatum subsp. kashiwanohense(630129)",subspecies,"beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-D-Glc(9831622, CHEBI:60239)",causally,1
human,"Bifidobacterium catenulatum subsp. kashiwanohense(630129)",subspecies,"Lacto-N-tetraose(440993, CHEBI:30248)",causally,1
human,"Bifidobacterium dentium(1689)",species,Ponciretin(25201019),causally,1
human,"Bifidobacterium dentium(1689)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Bifidobacterium longum(216816)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Bifidobacterium longum(216816)",species,"Arctigenin(64981, CHEBI:79)",causally,1
human,"Bifidobacterium longum(216816)",species,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,"Bifidobacterium longum(216816)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"Bifidobacterium longum(216816)",species,"Dihydrocaffeic acid(348154, CHEBI:48400)",correlatively,1
human,"Bifidobacterium longum(216816)",species,"Genipin(442424, CHEBI:5298)",causally,1
human,"Bifidobacterium longum(216816)",species,"Ginsenoside Rd(11679800, CHEBI:67988)",causally,1
human,"Bifidobacterium longum(216816)",species,"Hydroquinone(785, CHEBI:17594)",causally,1
human,"Bifidobacterium longum(216816)",species,"Lactate(91435, CHEBI:24996)",causally;causally,2
human,"Bifidobacterium longum(216816)",species,"Loganetin(10466307, CHEBI:195298)",causally,1
human,"Bifidobacterium longum subsp. infantis(1682)",subspecies,"Daidzein(5281708, CHEBI:28197)",causally;causally,2
human,"Bifidobacterium longum subsp. infantis(1682)",subspecies,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Bifidobacterium longum subsp. infantis(1682)",subspecies,"Glycitein(5317750, CHEBI:34778)",causally,1
human,"Bifidobacterium longum subsp. infantis(1682)",subspecies,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,"Bifidobacterium pseudocatenulatum(28026)",species,"Aglycone(139597845, CHEBI:166892)",causally,1
human,"Bifidobacterium pseudocatenulatum(28026)",species,"Daidzein(5281708, CHEBI:28197)",causally;causally,2
human,"Bifidobacterium pseudocatenulatum(28026)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Bifidobacterium pseudocatenulatum(28026)",species,"Glycitein(5317750, CHEBI:34778)",causally,1
human,"Bifidobacterium pseudocatenulatum(28026)",species,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,Bilophila(35832),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Bilophila(35832),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Bilophila(35832),genus,"Caproic Acid(8892, CHEBI:30776)",correlatively,1
human,Bilophila(35832),genus,"Propionate(104745, CHEBI:17272)",correlatively,1
human,"Bilophila wadsworthia(35833)",species,"Deoxycholic Acid(222528, CHEBI:28834)",correlatively,1
human,"Bilophila wadsworthia(35833)",species,"Hydrogen Sulfide(402, CHEBI:16136)",causally,1
human,"Bilophila wadsworthia(35833)",species,"Taurocholic acid(6675, CHEBI:28865)",correlatively,1
human,Blautia(572511),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Blautia(572511),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Blautia(572511),genus,"Acetate(175, CHEBI:30089)",correlatively,1
human,Blautia(572511),genus,"Alanine(5950, CHEBI:16977)",correlatively,1
human,Blautia(572511),genus,"Butyrate(104775, CHEBI:17968)",correlatively;causally,2
human,Blautia(572511),genus,"Glycine(750, CHEBI:15428)",correlatively,1
human,Blautia(572511),genus,"l-Isoleucine(6306, CHEBI:17191)",correlatively,1
human,Blautia(572511),genus,"Leucine(6106, CHEBI:15603)",correlatively,1
human,Blautia(572511),genus,"Proline(145742, CHEBI:17203)",correlatively,1
human,Blautia(572511),genus,"Serine(5951, CHEBI:17115)",correlatively,1
human,Blautia(572511),genus,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Blautia faecis(871665)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Blautia faecis(871665)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,"Blautia obeum(40520)",species,"7-Hydroxy-5-methyl-3-phenyl-6,7,8,9-tetrahydropyrido[3',2':4,5]imidazo[1,2-a]pyrimidin-5-ium chloride(129849310)",causally,1
human,"Blautia producta(33035)",species,"2,3-Bis(3,4-dihydroxybenzyl)butyrolactone(500189)",causally,1
human,"Blautia producta(33035)",species,"Enterodiol(115089, CHEBI:81556)",causally,1
human,"Blautia producta(33035)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Blautia sp. AUH-JLD56",species,3'-desmethylarctigenin,causally,1
human,"Blautia sp. MRG-PMF1",species,"Apigenin(5280443, CHEBI:18388)",causally,1
human,"Blautia sp. MRG-PMF1",species,"Chrysin(5281607, CHEBI:75095)",causally,1
human,Bulleidia(118747),genus,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,Butyricimonas(574697),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Butyricimonas(574697),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Butyricimonas(574697),genus,"Isoallolithocholic acid(94228, CHEBI:166734)",causally,1
human,"Butyricimonas synergistica(544644)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Butyricimonas synergistica(544644)",species,"Isobutyric acid(6590, CHEBI:16135)",causally,1
human,"Butyricimonas virosa(544645)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Butyricimonas virosa(544645)",species,"Isobutyric acid(6590, CHEBI:16135)",causally,1
human,"Candidatus Arthromitus(49082)",genus,"Trimethylamine oxide(1145, CHEBI:15724)",causally,1
human,"Candidatus Saccharimonas(1331051)",genus,"Gondoic Acid(5282768, CHEBI:32425)",correlatively,1
human,"Candidatus Saccharimonas(1331051)",genus,"Linoleic Acid(5280450, CHEBI:17351)",correlatively,1
human,"Candidatus Saccharimonas(1331051)",genus,"Myristic Acid(11005, CHEBI:28875)",correlatively,1
human,"Candidatus Saccharimonas(1331051)",genus,"Oleic Acid(445639, CHEBI:16196)",correlatively,1
human,"Candidatus Saccharimonas(1331051)",genus,"Palmitic Acid(985, CHEBI:15756)",correlatively,1
human,"Candidatus Saccharimonas(1331051)",genus,"Palmitoleic Acid(445638, CHEBI:28716)",correlatively,1
human,Caproiciproducens(1738645),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,"Catenibacillus scindens(673271)",species,"3-(2,4-Dihydroxyphenyl)propanoic acid(96384)",causally,1
human,"Catenibacillus scindens(673271)",species,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)",causally,1
human,"Catenibacillus scindens(673271)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
