"Host Species","Gut Microbe (ID)",Rank,"Metabolite (ID)",Evidence,"Evidence Number"
human,Catenibacterium(135858),genus,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,"CEBAS 4A1",strain,"3,9-dihydroxy-6H-benzo[c]chromen-6-one(10376459)",causally,1
human,"CEBAS 4A2",strain,"3,9-dihydroxy-6H-benzo[c]chromen-6-one(10376459)",causally,1
human,"CEBAS 4A3",strain,"3,9-dihydroxy-6H-benzo[c]chromen-6-one(10376459)",causally,1
human,"CEBAS 4A4",strain,"3,9-dihydroxy-6H-benzo[c]chromen-6-one(10376459)",causally,1
human,"Christensenella minuta(626937)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Christensenella minuta(626937)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,Christensenellaceae(990719),family,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,Christensenellaceae(990719),family,"Creatine(586, CHEBI:16919)",correlatively,1
human,Christensenellaceae(990719),family,"Ethanol(702, CHEBI:16236)",correlatively,1
human,Christensenellaceae(990719),family,"Urea(1176, CHEBI:16199)",correlatively,1
human,Citrobacter(544),genus,"2-Methylbutanoic acid(8314, CHEBI:37070)",correlatively,1
human,Citrobacter(544),genus,"Caproic Acid(8892, CHEBI:30776)",correlatively,1
human,Citrobacter(544),genus,"Isobutyric acid(6590, CHEBI:16135)",correlatively,1
human,Citrobacter(544),genus,"Isovaleric acid(10430, CHEBI:28484)",correlatively,1
human,Citrobacter(544),genus,"Propionate(104745, CHEBI:17272)",correlatively,1
human,"Citrobacter freundii(546)",species,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,"Citrobacter freundii(546)",species,"Trimethylamine oxide(1145, CHEBI:15724)",causally,1
human,"Clostridiales bacterium(1898207)",species,"N,O-Bis-(trimethylsilyl)phenylalanine(522502, CHEBI:174218)",correlatively,1
human,"Clostridiales bacterium(1898207)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Clostridioides difficile(1496)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Clostridioides difficile(1496)",species,"Deoxycholic Acid(222528, CHEBI:28834)",causally,1
human,"Clostridioides difficile(1496)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Clostridioides difficile(1496)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Clostridioides difficile(1496)",species,"Taurocholic acid(6675, CHEBI:28865)",causally,1
human,"Clostridioides difficile(1496)",species,"Valerate(114781, CHEBI:31011)",causally,1
human,Clostridium(1485),genus,"4-Hydroxybenzoic acid(135, CHEBI:30763)",causally,1
human,Clostridium(1485),genus,"Acetyl phosphate(2-)(4183249, CHEBI:22191)",causally,1
human,Clostridium(1485),genus,"Amylotriose(439586, CHEBI:140999)",correlatively,1
human,Clostridium(1485),genus,"Butyrate(104775, CHEBI:17968)",causally;correlatively;causally,3
human,Clostridium(1485),genus,"Pyruvate(107735, CHEBI:15361)",causally,1
human,"Clostridium cadaveris(1529)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,"Clostridium pasteurianum(1501)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Clostridium pasteurianum(1501)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Clostridium perfringens(1502)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Clostridium perfringens(1502)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Clostridium sp.(1506)",species,"(R)-3-(4-Hydroxyphenyl)lactate(9548632, CHEBI:10980)",causally,1
human,"Clostridium sp.(1506)",species,"Ethyl phenyllactate, (-)-(9877619)",causally,1
human,"Clostridium sp.(1506)",species,"Secoisolariciresinol(65373, CHEBI:65004)",causally,1
human,"Clostridium sp. HGH136",species,"6'-Hydroxy-O-desmethylangolensin(20601635, CHEBI:88662)",causally,1
human,"Clostridium sp. HGH136",species,"O-Desmethylangolensin(89472, CHEBI:88902)",causally,1
human,"Clostridium sp. HGH6",species,"2,4-Dioxopentanedioic acid(444873, CHEBI:42056)",causally,1
human,"Clostridium sp. HGH6",species,"Dihydrodaidzein(176907, CHEBI:75842)",causally,1
human,"Clostridium sp. L2-50(411489)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Clostridium sp. TM-40(371143)",species,"Dihydrodaidzein(176907, CHEBI:75842)",causally;causally,2
human,"Clostridium sporogenes(1509)",species,"2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid(9378, CHEBI:17385)",causally,1
human,"Clostridium sporogenes(1509)",species,"2-hydroxy-3-(5-hydroxy-1H-indol-3-yl)propanoic acid(192215)",causally,1
human,"Clostridium sporogenes(1509)",species,"3-(3,4-Dihydroxyphenyl)-2-hydroxypropanoic acid(439435, CHEBI:17807)",causally,1
human,"Clostridium sporogenes(1509)",species,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)",causally,1
human,"Clostridium sporogenes(1509)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,"Clostridium sporogenes(1509)",species,"3-Phenylpropionic acid(107, CHEBI:28631)",causally,1
human,"Clostridium sporogenes(1509)",species,"Ammonium(223, CHEBI:28938)",causally,1
human,"Clostridium sporogenes(1509)",species,"Carbon Dioxide(280, CHEBI:16526)",causally,1
human,"Clostridium sporogenes(1509)",species,"Dihydrocaffeic acid(348154, CHEBI:48400)",causally,1
human,"Clostridium sporogenes(1509)",species,"Indole-3-lactic acid(92904, CHEBI:24813)",causally,1
human,"Clostridium sporogenes(1509)",species,"L-ornithine(6262, CHEBI:15729)",causally,1
human,Colidextribacter(1980681),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Collinsella(102106),genus,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Collinsella aerofaciens(74426)",species,"Citric Acid(311, CHEBI:30769)",correlatively,1
human,"Collinsella aerofaciens(74426)",species,"Sedoheptulose(5459879, CHEBI:16802)",correlatively,1
human,"Collinsella aerofaciens(74426)",species,"Tricarballylic acid(14925, CHEBI:45969)",correlatively,1
human,"Collinsella tanakaei(626935)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Collinsella tanakaei(626935)",species,"Formate(283, CHEBI:15740)",causally,1
human,"Collinsella tanakaei(626935)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,Coprococcus(33042),genus,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,Coprococcus(33042),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Coprococcus(33042),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Coprococcus(33042),genus,"D-Xylose(135191, CHEBI:53455)",correlatively,1
human,"Coprococcus catus(116085)",species,"Creatine(586, CHEBI:16919)",correlatively,1
human,"Cronobacter sakazakii(28141)",species,"beta-D-fructofuranose(439709, CHEBI:28645)",causally,1
human,"Cutibacterium avidum(33010)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Desulfovibrio piger(901)",species,"Sulfate Ion(1117, CHEBI:16189)",causally,1
human,Dialister(39948),genus,"Arachidonic Acid(444899, CHEBI:15843)",correlatively,1
human,Dialister(39948),genus,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,Dialister(39948),genus,"N-Acetyl-L-aspartic acid(65065, CHEBI:21547)",correlatively,1
human,"Dialister succinatiphilus(487173)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,Dorea(189330),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Dorea(189330),genus,"Acetate(175, CHEBI:30089)",correlatively,1
human,Dorea(189330),genus,"Alanine(5950, CHEBI:16977)",correlatively,1
human,Dorea(189330),genus,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,Dorea(189330),genus,"Glycine(750, CHEBI:15428)",correlatively,1
human,Dorea(189330),genus,"l-Isoleucine(6306, CHEBI:17191)",correlatively,1
human,Dorea(189330),genus,"Leucine(6106, CHEBI:15603)",correlatively,1
human,Dorea(189330),genus,"Proline(145742, CHEBI:17203)",correlatively,1
human,Dorea(189330),genus,"Serine(5951, CHEBI:17115)",correlatively,1
human,Dysgonomonas(156973),genus,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,Eggerthella(84111),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Eggerthella lenta(84112)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally,1
human,"Eggerthella lenta(84112)",species,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",causally,1
human,"Eggerthella lenta(84112)",species,"3-(3',4'-Dihydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)-propan-2-ol(21722175)",causally,1
human,"Eggerthella lenta(84112)",species,"5-hydroxy-1H-imidazole-4-carboxamide(124343, CHEBI:88290)",causally,1
human,"Eggerthella lenta(84112)",species,"Enterodiol(115089, CHEBI:81556)",causally,1
human,"Eggerthella lenta(84112)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Eggerthella lenta(84112)",species,"Lariciresinol(332427, CHEBI:67246)",causally,1
human,"Eggerthella lenta(84112)",species,"Secoisolariciresinol(65373, CHEBI:65004)",causally,1
human,"Eggerthella sinensis(242230)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Eggerthella sp. SDG-2(426610)",species,"1,3-Diphenylpropan-2-ol(138478)",causally,1
human,"Eggerthella sp. YY7918(502558)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Eggerthella. sp. CAT-1",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally,1
human,"Eggerthella. sp. CAT-1",species,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,Eisenbergiella(1432051),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Eisenbergiella(1432051),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Emergencia timonensis(1776384)",species,"Trimethylamine(1146, CHEBI:18139)",causally;causally,2
human,END-49,strain,"Enterodiol(115089, CHEBI:81556)",causally,1
human,"Enorma timonensis(1232436)",species,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,"Enterocloster asparagiformis(333367)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Enterocloster asparagiformis(333367)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"Enterocloster asparagiformis(333367)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,"Enterocloster citroniae(358743)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Enterocloster clostridioformis(1531)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,Enterococcus(1350),genus,"Dopamine(681, CHEBI:18243)",causally,1
human,"Enterococcus avium(33945)",species,"Quercitrin(5280459, CHEBI:17558)",causally,1
human,"Enterococcus casseliflavus(37734)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Enterococcus casseliflavus(37734)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"Enterococcus casseliflavus(37734)",species,"Formate(283, CHEBI:15740)",causally,1
human,"Enterococcus casseliflavus(37734)",species,"L-lactate(5460161, CHEBI:16651)",causally,1
human,"Enterococcus casseliflavus(37734)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Enterococcus faecalis(1351)",species,"Agmatine(199, CHEBI:17431)",correlatively,1
human,"Enterococcus faecalis(1351)",species,"Citrulline(9750, CHEBI:16349)",causally,1
human,"Enterococcus faecalis(1351)",species,"L-Leucic acid(83697, CHEBI:44510)",causally,1
human,"Enterococcus faecalis(1351)",species,"Lariciresinol(332427, CHEBI:67246)",causally,1
human,"Enterococcus faecalis(1351)",species,"Levodopa(6047, CHEBI:15765)",causally,1
human,"Enterococcus faecalis(1351)",species,"Tyramine(5610, CHEBI:15760)",correlatively,1
human,"Enterococcus faecium(1352)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Enterococcus sp. 41",species,"Platycodin D(162859, CHEBI:70436)",causally,1
human,"Enterococcus sp. 45(1343173)",species,"Luteolin(5280445, CHEBI:15864)",causally;causally,2
human,"Enterococcus sp. 45(1343173)",species,"Myricetin(5281672, CHEBI:18152)",causally,1
human,"Enterococcus sp. 45(1343173)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Enterococcus sp. MRG-ICA-E(1710535)",species,"Baohuoside I(5488822, CHEBI:82619)",causally,1
human,"Erysipelotrichaceae bacterium(2049044)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,Escherichia(561),genus,"Glycocholic acid(10140, CHEBI:17687)",causally,1
human,Escherichia(561),genus,"Indoxyl sulfate(10258, CHEBI:43355)",causally,1
human,Escherichia(561),genus,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,Escherichia(561),genus,"Trimethylamine oxide(1145, CHEBI:15724)",causally,1
human,"Escherichia coli(562)",species,"(R)-3-(4-Hydroxyphenyl)lactate(9548632, CHEBI:10980)",causally,1
human,"Escherichia coli(562)",species,"2,3-Butanediol(262, CHEBI:62064)",causally,1
human,"Escherichia coli(562)",species,"2,3-Butanedione(650, CHEBI:16583)",causally,1
human,"Escherichia coli(562)",species,"2-Acetoxypropanoic acid(79041)",causally,1
human,"Escherichia coli(562)",species,"Acetoin(179, CHEBI:15688)",causally,1
human,"Escherichia coli(562)",species,"Agmatine(199, CHEBI:17431)",correlatively,1
human,"Escherichia coli(562)",species,"Caffeic Acid(689043, CHEBI:16433)",causally,1
human,"Escherichia coli(562)",species,"Colibactin(138805674, CHEBI:156303)",causally,1
human,"Escherichia coli(562)",species,"Daidzein(5281708, CHEBI:28197)",causally;causally,2
human,"Escherichia coli(562)",species,"Dihydrodaidzein(176907, CHEBI:75842)",causally,1
human,"Escherichia coli(562)",species,"Dihydrogenistein(9838356, CHEBI:34707)",causally,1
human,"Escherichia coli(562)",species,"Ethyl phenyllactate, (-)-(9877619)",causally,1
human,"Escherichia coli(562)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Escherichia coli(562)",species,"Isoquercetin(5280804, CHEBI:68352)",causally,1
human,"Escherichia coli(562)",species,"Pipecolic acid(849, CHEBI:17964)",correlatively,1
human,"Escherichia coli(562)",species,"Quinic acid(6508, CHEBI:17521)",causally,1
human,"Escherichia coli(562)",species,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,"Escherichia sp. 12(1343175)",species,"Myricetin(5281672, CHEBI:18152)",causally,1
human,"Escherichia sp. 12(1343175)",species,"Quercitrin(5280459, CHEBI:17558)",causally,1
human,"Escherichia sp. 33(1343178)",species,"Myricetin(5281672, CHEBI:18152)",causally,1
human,"Escherichia sp. 33(1343178)",species,"Quercetin(5280343, CHEBI:16243)",causally,1
human,"Escherichia sp. 4(1343180)",species,"Acacetin(5280442, CHEBI:15335)",causally,1
human,"Escherichia sp. 4(1343180)",species,"Diosmetin(5281612, CHEBI:4630)",causally,1
human,"Escherichia sp. 49A(1343183)",species,"Platycodin D(162859, CHEBI:70436)",causally,1
human,"Escherichia sp. 64(1343186)",species,"Platycodin D(162859, CHEBI:70436)",causally,1
human,Eubacteriales(186802),order,"Butyrate(104775, CHEBI:17968)",causally,1
human,Eubacterium(1730),genus,"3-Hydroxybenzoic acid(7420, CHEBI:30764)",correlatively,1
human,Eubacterium(1730),genus,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,Eubacterium(1730),genus,"4-Hydroxybenzoic acid(135, CHEBI:30763)",correlatively,1
human,Eubacterium(1730),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Eubacterium(1730),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Eubacterium(1730),genus,"Acetate(175, CHEBI:30089)",correlatively,1
human,Eubacterium(1730),genus,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,"Eubacterium coprostanoligenes(290054)",species,"Lithocholic acid(9903, CHEBI:16325)",correlatively,1
human,"Eubacterium limosum(1736)",species,"6,7,4'-Trihydroxyisoflavone(5284649, CHEBI:74957)",causally;causally;causally,3
human,"Eubacterium limosum(1736)",species,"8-Prenylnaringenin(480764, CHEBI:50207)",causally;causally,2
human,"Eubacterium limosum(1736)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Eubacterium limosum(1736)",species,"Butyrate(104775, CHEBI:17968)",causally;causally,2
human,"Eubacterium limosum(1736)",species,"Daidzein(5281708, CHEBI:28197)",causally,1
human,"Eubacterium limosum(1736)",species,"Dihydroglycitein(101101166, CHEBI:174736)",causally,1
human,"Eubacterium limosum(1736)",species,"Genistein(5280961, CHEBI:28088)",causally,1
human,"Eubacterium limosum(1736)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Eubacterium ramulus(39490)",species,"2-(4-Hydroxyphenyl)propionic acid, (2S)-(6971268)",causally,1
human,"Eubacterium ramulus(39490)",species,"3,4-Dihydroxyphenylacetic acid(547, CHEBI:41941)",causally;causally;causally;causally,4
human,"Eubacterium ramulus(39490)",species,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)",causally;causally;causally,3
human,"Eubacterium ramulus(39490)",species,"3-Hydroxy-4-methoxybenzenepropanoic acid(2752054, CHEBI:189726)",causally,1
human,"Eubacterium ramulus(39490)",species,"4-Hydroxyphenylacetic acid(127, CHEBI:18101)",causally,1
human,"Eubacterium ramulus(39490)",species,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one(932, CHEBI:50202)",causally,1
human,"Eubacterium ramulus(39490)",species,"Acetate(175, CHEBI:30089)",causally;causally,2
human,"Eubacterium ramulus(39490)",species,"Butyrate(104775, CHEBI:17968)",causally;causally,2
human,"Eubacterium ramulus(39490)",species,"Dihydrocaffeic acid(348154, CHEBI:48400)",causally;causally,2
human,"Eubacterium ramulus(39490)",species,"Hesperetin dihydrochalcone(147608)",causally,1
human,"Eubacterium ramulus(39490)",species,Kaempferol-3-sorphoroside,causally,1
human,"Eubacterium ramulus(39490)",species,"Naringenin chalcone(5280960, CHEBI:15413)",causally;causally,2
human,"Eubacterium ramulus(39490)",species,"O-Desmethylangolensin(89472, CHEBI:88902)",causally,1
human,"Eubacterium ramulus(39490)",species,"Phloretin(4788, CHEBI:17276)",causally;causally,2
human,"Eubacterium ramulus(39490)",species,"Phloroglucinol(359, CHEBI:16204)",causally;causally;causally,3
human,"Eubacterium sp.(142586)",species,"Enterodiol(115089, CHEBI:81556)",causally,1
human,"Eubacterium sp. A-44(394229)",species,"(20S)-Protopanaxadiol(11213350, CHEBI:75950)",causally,1
human,"Eubacterium sp. A-44(394229)",species,"Ginsenoside Rh2(119307, CHEBI:77147)",causally,1
human,Faecalibacterium(216851),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,"Faecalibacterium prausnitzii(853)",species,"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine(1530, CHEBI:76290)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"Acetate(175, CHEBI:30089)",correlatively;correlatively,2
human,"Faecalibacterium prausnitzii(853)",species,"Bile acid(439520, CHEBI:22868)",correlatively,1
human,"Faecalibacterium prausnitzii(853)",species,"Butyrate(104775, CHEBI:17968)",causally;causally;causally;causally;correlatively,5
human,"Faecalibacterium prausnitzii(853)",species,"D-Glucuronic Acid(94715, CHEBI:47952)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"D-Lactic acid(61503, CHEBI:42111)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"Dihydrocaffeic acid(348154, CHEBI:48400)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"Histidine(6274, CHEBI:15971)",correlatively,1
human,"Faecalibacterium prausnitzii(853)",species,"Hypoxanthine(135398638, CHEBI:17368)",correlatively,1
human,"Faecalibacterium prausnitzii(853)",species,"Palmitic Acid(985, CHEBI:15756)",causally,1
human,"Faecalibacterium prausnitzii(853)",species,"Tryptamine(1150, CHEBI:16765)",correlatively,1
human,Faecalitalea(1573534),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Finegoldia magna(1260)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Flavonifractor plautii(292800)",species,"(4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid",causally,1
human,"Flavonifractor plautii(292800)",species,"(4R)-4-hydroxy-5-(3-hydroxyphenyl) valeric acid",causally,1
human,"Flavonifractor plautii(292800)",species,"(4R)-5-(3,4-dihydroxyphenyl)-��-valerolactone",causally,1
human,"Flavonifractor plautii(292800)",species,(4R)-5-(3-hydroxyphenyl)-��-valerolactone,causally,1
human,"Flavonifractor plautii(292800)",species,"(4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid",causally,1
human,"Flavonifractor plautii(292800)",species,"(4S)-4-hydroxy-5-(3-hydroxyphenyl) valeric acid",causally,1
human,"Flavonifractor plautii(292800)",species,"(4S)-5-(3,4-dihydroxyphenyl)-��-valerolactone",causally,1
human,"Flavonifractor plautii(292800)",species,(4S)-5-(3-hydroxyphenyl)-��-valerolactone,causally,1
human,"Flavonifractor plautii(292800)",species,"3,4-diHPP-2-ol",causally,1
human,"Flavonifractor plautii(292800)",species,"3,4-diHPVL",causally,1
human,"Flavonifractor plautii(292800)",species,"3,4-Dihydroxyphenylacetic acid(547, CHEBI:41941)",causally,1
human,"Flavonifractor plautii(292800)",species,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)",causally,1
human,"Flavonifractor plautii(292800)",species,"3-Hydroxy-4-methoxybenzenepropanoic acid(2752054, CHEBI:189726)",causally,1
human,"Flavonifractor plautii(292800)",species,"7-Hydroxy-5-methyl-3-phenyl-6,7,8,9-tetrahydropyrido[3',2':4,5]imidazo[1,2-a]pyrimidin-5-ium chloride(129849310)",causally,1
human,"Flavonifractor plautii(292800)",species,"Dihydrocaffeic acid(348154, CHEBI:48400)",causally,1
human,Fusobacterium(848),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Fusobacterium nucleatum(851)",species,"1,6-di-O-phosphono-beta-D-fructofuranose(10267, CHEBI:28013)",causally,1
human,"Fusobacterium nucleatum(851)",species,"3-Phosphoglyceric acid(439183, CHEBI:17794)",causally,1
human,"Fusobacterium nucleatum(851)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,"Fusobacterium sp.(68766)",species,"Hydrogen Sulfide(402, CHEBI:16136)",causally,1
human,"Fusobacterium sp. K-60",species,"20(R)-Ginsenoside Rh2(54580480)",causally,1
human,"Fusobacterium sp. K-60",species,"Ginsenoside Rh2(119307, CHEBI:77147)",causally,1
human,"Gemmiger formicilis(745368)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Holdemanella biformis(1735)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,Holdemania(61170),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,"human intestinal bacterium SNU-Julong732(239760)",strain,"Equol(91469, CHEBI:34741)",causally,1
human,Hungatella(1649459),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Hungatella(1649459),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Intestinimonas(1392389),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Intestinimonas(1392389),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Klebsiella(570),genus,"procollagen type 1 n-terminal propeptide",causally,1
human,Klebsiella(570),genus,"Trimethylamine(1146, CHEBI:18139)",causally,1
human,Klebsiella(570),genus,"type I collagen cross-linked c-telopeptide",causally,1
human,"Klebsiella pneumoniae(573)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"Kocuria rhizophila(72000)",species,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
