"Host Species","Metabolite (ID)","Gene (ID)",Alteration,Evidence,"Evidence Number"
human,"(R)-3-hydroxybutyrate(6971058, CHEBI:10983)","HCAR2 (338442)",activation,causally,1
human,"(S)-3-hydroxybutyrate(6971271, CHEBI:11047)","HCAR2 (338442)",activation,causally,1
human,"1-(3-Chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone(3081033)","CCND1 (595)",inhibition,causally,1
human,"1-(3-Chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone(3081033)","GSK3B (2932)",activation,causally,1
human,"1-(3-Chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone(3081033)","MYC (4609)",inhibition,causally,1
human,"1-(3-Chloro-2,6-dihydroxy-4-methoxyphenyl)-1-hexanone(3081033)","TCF7L2 (6934)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","BAX (581)",activation,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","BCL2 (596)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","CCND1 (595)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","CDK6 (1021)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","CDKN1A (1026)",activation,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","CXCL8 (3576)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","HERC5 (51191)",inhibition,causally,1
human,"1-Piperazinepentanamide, N-((1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl)-2-(((1,1-dimethylethyl)amino)carbonyl)-4-(furo(2,3-b)pyridin-5-ylmethyl)-gamma-hydroxy-alpha-(phenylmethyl)-, (alphaR,gammaS,2S)-(5481990)","TP53 (7157)",activation,causally,1
human,"10-keto-12Z-octadecenoic acid(24970825, CHEBI:192539)","PPARG (5468)",activation,causally,1
human,"10-Oxo-11-octadecenoic acid(10308378)","HMOX1 (3162)",activation,causally,1
human,"10-Oxo-11-octadecenoic acid(10308378)","NFE2L2 (4780)",activation,causally,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","CYP1A2 (1544)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","CYP2D6 (1565)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","CYP3A4 (1576)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","CYP3A5 (1577)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","GCLC (2729)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","GNMT (27232)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","MCCC1 (56922)",activation,correlatively,1
human,"2,2',4,4',5-Pentabromodiphenyl ether(36159, CHEBI:81582)","NQO1 (1728)",activation,correlatively,1
human,"2,2',4,4'-Tetrabromodiphenyl ether(95170, CHEBI:81584)","MCCC1 (56922)",activation,correlatively,1
human,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)","CASP1 (834)",inhibition,causally,1
human,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)","ICAM1 (3383)",activation,causally,1
human,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)","IL10 (3586)",activation,causally,1
human,"3-(4-Hydroxyphenyl)propionic acid(10394, CHEBI:32980)","NLRP3 (114548)",inhibition,causally,1
human,"3-Indoleacrylic acid(5375048, CHEBI:132244)","AHR (196)",activation,causally,1
human,"3-Indoleacrylic acid(5375048, CHEBI:132244)","CYP1A1 (1543)",activation,causally,1
human,"3-Indolepropionic acid(3744, CHEBI:43580)","IL1B (3553)",inhibition,causally,1
human,"3-Indolepropionic acid(3744, CHEBI:43580)","IL6 (3569)",inhibition,causally,1
human,"3-Indolepropionic acid(3744, CHEBI:43580)","NFKB1 (4790)",inhibition,causally,1
human,"3-Indolepropionic acid(3744, CHEBI:43580)","TJP1 (7082)",activation,causally,1
human,"3-Indolepropionic acid(3744, CHEBI:43580)","TNF (7124)",inhibition,causally,1
human,"3-Methyloxindole(150923, CHEBI:17397)","AHR (196)",activation,causally,1
human,"4-Hydroxyphenylacetic acid(127, CHEBI:18101)","CASP1 (834)",inhibition,causally,1
human,"4-Hydroxyphenylacetic acid(127, CHEBI:18101)","ICAM1 (3383)",activation,causally,1
human,"4-Hydroxyphenylacetic acid(127, CHEBI:18101)","IL10 (3586)",activation,causally,1
human,"4-Hydroxyphenylacetic acid(127, CHEBI:18101)","NLRP3 (114548)",inhibition,causally,1
human,"5-hydroxy-1H-imidazole-4-carboxamide(124343, CHEBI:88290)","IRS1 (3667)",inhibition,causally,1
human,"5-hydroxy-1H-imidazole-4-carboxamide(124343, CHEBI:88290)","RHEB (6009)",activation,causally,1
human,"5-Hydroxyindole-3-acetic acid(1826, CHEBI:27823)","AHR (196)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","ALPI (248)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","ANGPTL4 (51129)",inhibition,correlatively,1
human,"Acetate(175, CHEBI:30089)","APP (351)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","CCL2 (6347)",inhibition,causally,1
human,"Acetate(175, CHEBI:30089)","CLDN3 (1365)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","CXCL8 (3576)",inhibition,causally,1
human,"Acetate(175, CHEBI:30089)","DCLK1 (9201)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","FFAR2 (2867)",activation,causally;causally,2
human,"Acetate(175, CHEBI:30089)","FFAR3 (2865)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","FOXP3 (50943)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","GHRL (51738)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","HDAC9 (9734)",inhibition,causally,1
human,"Acetate(175, CHEBI:30089)","IL6 (3569)",inhibition,causally;causally,2
human,"Acetate(175, CHEBI:30089)","LGR5 (8549)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","MUC2 (4583)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","NOS3 (4846)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","OCLN (100506658)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","TJP1 (7082)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","TNF (7124)",inhibition,causally,1
human,"Acetate(175, CHEBI:30089)","TPH1 (7166)",activation,causally,1
human,"Acetate(175, CHEBI:30089)","VEGFA (7422)",activation,causally,1
human,Acifran(51576),"HCAR2 (338442)",activation,causally,1
human,Acifran(51576),"HCAR3 (8843)",activation,causally,1
human,"Baicalein(5281605, CHEBI:2979)","CXCL8 (3576)",inhibition,causally,1
human,"Baicalin(64982, CHEBI:2981)","CXCL8 (3576)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","ALPI (248)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","ANGPTL4 (51129)",activation,causally;correlatively,2
human,"Butyrate(104775, CHEBI:17968)","CCL2 (6347)",inhibition,causally;causally,2
human,"Butyrate(104775, CHEBI:17968)","CHGA (1113)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","CLDN3 (1365)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","CXCL8 (3576)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","CXCR2 (3579)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","DCLK1 (9201)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","DEFB1 (1672)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","FFAR2 (2867)",activation,causally;causally;causally,3
human,"Butyrate(104775, CHEBI:17968)","FFAR3 (2865)",activation,causally;causally,2
human,"Butyrate(104775, CHEBI:17968)","FOS (2353)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","GCK (2645)",inhibition,correlatively,1
human,"Butyrate(104775, CHEBI:17968)","GHRL (51738)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","HCAR2 (338442)",activation,causally;causally;causally,3
human,"Butyrate(104775, CHEBI:17968)","HDAC1 (3065)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC11 (79885)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC2 (3066)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC3 (8841)",inhibition,causally;causally;causally,3
human,"Butyrate(104775, CHEBI:17968)","HDAC4 (9759)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC5 (10014)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC7 (51564)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC8 (55869)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","HDAC9 (9734)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL10 (3586)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL12A (3592)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL12B (3593)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL1B (3553)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL22RA1 (58985)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL4R (3566)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","IL6 (3569)",inhibition,causally;causally;causally;causally,4
human,"Butyrate(104775, CHEBI:17968)","JUN (3725)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","LGR5 (8549)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","LYZ (4069)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","MUC2 (4583)",activation,causally;causally,2
human,"Butyrate(104775, CHEBI:17968)","OCLN (100506658)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","PPARG (5468)",inhibition,causally,1
human,"Butyrate(104775, CHEBI:17968)","REG3B (nan)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","REG3G (130120)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","SLC5A8 (160728)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","TJP1 (7082)",activation,causally,1
human,"Butyrate(104775, CHEBI:17968)","TLR4 (7099)",inhibition,causally;causally,2
human,"Butyrate(104775, CHEBI:17968)","TNF (7124)",inhibition,causally;causally,2
human,"Caffeic Acid(689043, CHEBI:16433)","CASP1 (834)",inhibition,causally,1
human,"Caffeic Acid(689043, CHEBI:16433)","ICAM1 (3383)",activation,causally,1
human,"Caffeic Acid(689043, CHEBI:16433)","IL10 (3586)",activation,causally,1
human,"Caffeic Acid(689043, CHEBI:16433)","NLRP3 (114548)",inhibition,causally,1
human,"D-Mannose(18950, CHEBI:4208)","ALG12 (79087)",activation,correlatively,1
human,"Diosgenin(99474, CHEBI:4629)","CAT (847)",activation,causally,1
human,"Diosgenin(99474, CHEBI:4629)","GPX3 (2878)",activation,causally,1
human,"Diosgenin(99474, CHEBI:4629)","SOD1 (6647)",activation,causally,1
human,"Genipin(442424, CHEBI:5298)","BAX (581)",activation,causally,1
human,"Genipin(442424, CHEBI:5298)","BCL2 (596)",inhibition,causally,1
human,"Genipin(442424, CHEBI:5298)","CASP3 (836)",activation,causally,1
human,"Genipin(442424, CHEBI:5298)","MAPK8 (5599)",activation,causally,1
human,"Hydroquinone(785, CHEBI:17594)","BAX (581)",activation,causally,1
human,"Hydroquinone(785, CHEBI:17594)","BCL2 (596)",inhibition,causally,1
human,"Hydroquinone(785, CHEBI:17594)","CASP3 (836)",activation,causally,1
human,"Indole(798, CHEBI:16881)","CLDN7 (1366)",activation,causally,1
human,"Indole(798, CHEBI:16881)","CYP1A1 (1543)",activation,causally,1
human,"Indole(798, CHEBI:16881)","OCLN (100506658)",activation,causally,1
human,"Indole(798, CHEBI:16881)","TJP1 (7082)",activation,causally,1
human,"Indole-3-carboxylic acid(69867, CHEBI:24809)","AHR (196)",activation,causally,1
human,"Indole-3-carboxylic acid(69867, CHEBI:24809)","IDO1 (3620)",inhibition,causally,1
human,"Indoxyl sulfate(10258, CHEBI:43355)","EGFR (1956)",activation,causally,1
human,"Indoxyl sulfate(10258, CHEBI:43355)","EGFR (1956)",inhibition,correlatively,1
human,"Indoxyl sulfate(10258, CHEBI:43355)","SLC22A6 (9356)",activation,causally,1
human,"Kynurenic acid(3845, CHEBI:18344)","CYP1A1 (1543)",activation,causally,1
human,"Lithocholic acid(9903, CHEBI:16325)","SULT2A1 (6822)",activation,causally,1
human,"Lithocholic acid(9903, CHEBI:16325)","VDR (7421)",activation,causally,1
human,"Nicotinic acid(938, CHEBI:15940)","HCAR2 (338442)",activation,causally,1
human,"Oxindole(321710, CHEBI:31697)","CYP1A1 (1543)",activation,causally,1
human,"p-Cresol sulfate(4615423, CHEBI:82914)","EGFR (1956)",inhibition,correlatively,1
human,"Phenylacetylglutamine(92258, CHEBI:17884)","ADRA2A (150)",activation,causally,1
human,"Phenylacetylglutamine(92258, CHEBI:17884)","ADRA2B (151)",activation,causally,1
human,"Phenylacetylglutamine(92258, CHEBI:17884)","ADRB2 (154)",activation,causally,1
human,"Phenylacetylglutamine(92258, CHEBI:17884)","EGFR (1956)",inhibition,correlatively,1
human,"Pioglitazone(4829, CHEBI:8228)","NLRP6 (171389)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","ALPI (248)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","ANGPTL4 (51129)",activation,correlatively,1
human,"Propionate(104745, CHEBI:17272)","CCL2 (6347)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","CLDN3 (1365)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","DCLK1 (9201)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","DEFB1 (1672)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","FFAR2 (2867)",activation,causally;causally,2
human,"Propionate(104745, CHEBI:17272)","FFAR3 (2865)",activation,causally;causally,2
human,"Propionate(104745, CHEBI:17272)","GHRL (51738)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","IL17A (3605)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","IL22 (50616)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","IL4R (3566)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","IL6 (3569)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","JUN (3725)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","LGR5 (8549)",inhibition,causally,1
human,"Propionate(104745, CHEBI:17272)","SLC5A8 (160728)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR2 (7097)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR8 (51311)",activation,causally,1
human,"Propionate(104745, CHEBI:17272)","TLR9 (54106)",activation,causally,1
human,"Pyruvate(107735, CHEBI:15361)","SLC5A8 (160728)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","GLP1R (2740)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","SSTR1 (6751)",activation,causally,1
human,"Serotonin(5202, CHEBI:28790)","SSTR3 (6753)",activation,causally,1
human,"Skatole(6736, CHEBI:9171)","CYP1A1 (1543)",activation,causally,1
human,"Sodium 3-hydroxybutyrate(23676771, CHEBI:113373)","HCAR2 (338442)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","CCL2 (6347)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","CXCL8 (3576)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","GOT1 (2805)",activation,correlatively,1
human,"Succinate(160419, CHEBI:30031)","GPT (2875)",activation,correlatively,1
human,"Succinate(160419, CHEBI:30031)","IL1B (3553)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","MAPK1 (5594)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","MAPK3 (5595)",activation,causally,1
human,"Succinate(160419, CHEBI:30031)","TNF (7124)",activation,causally,1
human,"Tretinoin(444795, CHEBI:15367)","IGAD1 (10986)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD14 (929)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD163 (9332)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","CD44 (960)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","HBA1 (3039)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL12A (3592)",activation,correlatively,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL1B (3553)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","IL6 (3569)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","LCN2 (3934)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","SMN1 (6606)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","SMURF2 (64750)",inhibition,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","TGFBR1 (7046)",activation,causally,1
human,"Trimethylamine oxide(1145, CHEBI:15724)","TNF (7124)",activation,causally;correlatively,2
human,"urolithin A(5488186, CHEBI:168442)","ABCC4 (10257)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","AHR (196)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","ASPM (259266)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","AURKAIP1 (54998)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","BLVRB (645)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CCNB3 (85417)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CDKN1A (1026)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CHAC1 (79094)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CLDN4 (1364)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CORO1B (57175)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CTSD (1509)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","CYP1A1 (1543)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DAPK3 (1613)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DNPH1 (10591)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","DPP7 (29952)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FADS3 (3995)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FKBP2 (2286)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","FLNA (2316)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","G6PD (2539)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","HPGD (3248)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","IGFBP6 (3489)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","LINC00504 (201853)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","MGAM2 (93432)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NFE2L2 (4780)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NOX1 (27035)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","NQO1 (1728)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","OCLN (100506658)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","ONECUT2 (9480)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PAK1 (5058)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PEMT (10400)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","PFN1P2 (767846)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","RAC1 (5879)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","RNF144B (255488)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SERINC2 (347735)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SESN3 (143686)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SFN (2810)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLC17A4 (10050)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLC40A1 (30061)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SLITRK6 (84189)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","SORBS2 (8470)",inhibition,causally,1
human,"urolithin A(5488186, CHEBI:168442)","THEM6 (51337)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","TJP1 (7082)",activation,causally;causally,2
human,"urolithin A(5488186, CHEBI:168442)","TP53 (7157)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","UPK3B (105375355)",activation,causally,1
human,"urolithin A(5488186, CHEBI:168442)","VAMP5 (10791)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","AKT1 (207)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","LEP (3952)",inhibition,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK1 (5594)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK14 (1432)",activation,causally,1
human,"Vancomycin(14969, CHEBI:28001)","MAPK3 (5595)",activation,causally,1
