"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGDS",0,-1.00489242277608,0.169,0.286,0
"GLUL",0,-1.50102742816081,0.096,0.201,0
"XIST",0,-7.01648918073762,0.001,0.057,0
"APOE",2.57272216592215e-290,-1.86989021499769,0.043,0.111,2.50583138960817e-287
"CST3",5.21183911469935e-264,-1.37297578651145,0.097,0.18,3.98854601963491e-261
"TUBB4A",2.49615728478822e-254,-1.01235491328599,0.136,0.226,1.67148932182631e-251
"SLC1A3",5.00928671570601e-207,-1.00513622681836,0.066,0.13,1.91676778114551e-204
"FGFR3",4.86775661175588e-201,-1.48566681794704,0.035,0.086,1.68235949478557e-198
"GJA1",1.63040139875532e-133,-1.95402026523986,0.017,0.047,1.55965362377361e-131
"CRYAB",4.94375784567659e-133,-1.01185548413912,0.058,0.106,4.64626504899816e-131
"GFAP",4.9455688414724e-131,-1.39560579012213,0.032,0.069,4.3790764105401e-129
"MT2A",1.6061631378255e-128,-1.35257756123355,0.036,0.075,1.344408738958e-126
"NPAS4",2.02190701070006e-121,2.32560868038089,0.033,0.009,1.47365385800275e-119
"GPR37L1",4.6309327901118e-117,-1.89278662854621,0.02,0.049,3.1204914410854e-115
"ATP1B2",1.38716936619508e-108,-1.21450347648552,0.076,0.121,8.39668507876505e-107
"S100B",3.34390576288506e-105,-1.10844976704345,0.025,0.055,1.86596908039326e-103
"CSRP1",3.73228505516034e-102,-1.04064688270037,0.03,0.061,1.98943791447701e-100
"AGT",3.74152360582004e-101,-2.04307644380528,0.009,0.029,1.95544799574419e-99
"CH507-513H4.1",5.48925668188304e-97,-1.50251734787845,0.019,0.045,2.48151460294071e-95
"HTRA1",6.50890409197904e-97,-1.04256392344374,0.062,0.102,2.93010077485141e-95
"TUBB2B",5.28756217459689e-94,-1.17461707618273,0.048,0.084,2.24805321978695e-92
"HEPACAM",5.52524849413289e-93,-1.17771674650251,0.029,0.058,2.31240282680234e-91
"DDIT4",9.95313062389424e-93,-1.47873761730619,0.023,0.049,4.14933235425692e-91
"F3",2.07899310547112e-90,-1.62337644049598,0.018,0.041,8.24975264148799e-89
"SDC4",3.95780661378781e-89,-2.01589609777648,0.009,0.028,1.53637463985951e-87
"TSC22D4",2.24756193284546e-86,-1.06099888883439,0.042,0.074,8.08066394245177e-85
"ACSS1",2.85580567363886e-81,-1.09281620344411,0.033,0.062,9.27184908708082e-80
"ATP1A2",4.21660853680114e-81,-1.10651217929475,0.044,0.076,1.3566589748735e-79
"HSPA1A",4.09677874123545e-77,-1.27526714462359,0.06,0.095,1.17991632886012e-75
"MT1E",1.31527207815745e-74,-1.58772954071571,0.011,0.029,3.63191367148941e-73
"KCNJ10",3.33149248718466e-73,-1.2838230830319,0.014,0.034,8.76992887166988e-72
"SPP1",7.86890425972332e-66,-1.07783731223151,0.029,0.053,1.77489347870896e-64
"MLC1",3.6509233466345e-65,-1.59554041147389,0.018,0.037,8.13222302200458e-64
"MTRNR2L8",2.17147153177204e-62,-1.03855010695706,0.029,0.052,4.47406653680878e-61
"SOX9",2.76513259743782e-61,-1.27052751718296,0.026,0.048,5.53750105587829e-60
"PMP2",3.4865892079624e-60,-1.03503056096172,0.019,0.038,6.77954932379477e-59
"ADGRG1",2.66125686499425e-58,-1.07378194364354,0.046,0.073,4.90752255620455e-57
"MTRNR2L12",1.28545084798062e-57,-1.15794003904536,0.017,0.034,2.33034185875878e-56
"MT1M",1.21432374519773e-55,-1.82839707130668,0.005,0.016,2.10181980711608e-54
"AQP4",3.19459187541392e-52,-1.3227573495167,0.027,0.048,5.04820904914229e-51
"RP11-430C7.4",3.08983414702431e-50,1.23115071114684,0.025,0.011,4.56613559327152e-49
"WFS1",1.66650174681327e-48,-1.0925105159855,0.032,0.053,2.32485673377049e-47
"ANGPTL4",8.80919003453462e-48,-2.26555339562821,0.009,0.021,1.19621878365024e-46
"HEPN1",3.2756053388717e-47,-1.15366738623272,0.017,0.032,4.3596069069157e-46
"GJB6",6.19340807929217e-47,-1.80004740396089,0.008,0.019,8.1418618603112e-46
"FAM107A",8.86607338544681e-47,-1.00152200797221,0.04,0.063,1.15842817380094e-45
"LINC01515",6.97933441495132e-46,1.04860781252873,0.024,0.011,8.817993976626e-45
"GRIN2C",1.01056017477217e-45,-1.14848549335533,0.021,0.038,1.27378137794224e-44
"EDNRB",7.0969273213947e-44,-1.4368309057234,0.007,0.018,8.45789536389575e-43
"IFITM3",2.17403828393681e-43,-1.71589200518308,0.007,0.017,2.53732529129619e-42
"ID4",2.54923540109069e-41,-1.09722526079833,0.013,0.027,2.83618983253226e-40
"C10orf10",1.56883681806467e-40,-1.73127549161632,0.008,0.019,1.70644849428882e-39
"EMX2",9.40437068211754e-40,-1.06624582337371,0.015,0.028,9.97608192952548e-39
"MT1G",1.34808817367465e-39,-1.54900507280912,0.005,0.014,1.42159613117621e-38
"ZFP36",1.98300052006481e-39,-2.32460261733478,0.003,0.01,2.08497228380514e-38
"PBXIP1",2.47564124707351e-37,-1.35240253539432,0.018,0.032,2.42007484681985e-36
"HSPA1B",3.96442929531922e-37,-1.26504847620147,0.025,0.041,3.83347432040163e-36
"AEBP1",9.00486837558579e-37,-1.43645858551433,0.006,0.015,8.61412140857376e-36
"LINC00982",1.8260494300898e-36,-1.0352146259425,0.011,0.023,1.73288694366538e-35
"TRIL",7.39102262251693e-35,-1.50717015093566,0.008,0.018,6.5824951269864e-34
"CH507-528H12.1",3.95392551130874e-34,-1.46169141530715,0.012,0.023,3.44129633859966e-33
"PPP1R3C",1.04225440707513e-32,-1.20765497608888,0.012,0.023,8.6362828440858e-32
"S1PR1",4.86708348719595e-32,-1.73717406083324,0.004,0.011,3.93257409365139e-31
"EZR",1.21568985062392e-31,-1.16716106831912,0.015,0.027,9.66956277623213e-31
"OAF",4.74733729905066e-31,-1.18204057222137,0.013,0.024,3.66184102390416e-30
"ALDH1L1",7.38560920299631e-30,-1.07293739115853,0.018,0.03,5.44593372339315e-29
"HES5",5.42373186174865e-29,-1.6500858219467,0.006,0.014,3.88694736901505e-28
"CDC42EP4",3.06816669215164e-28,-1.21591440319669,0.011,0.021,2.14291642371008e-27
"RAB34",3.10763537734498e-28,-1.2305262785798,0.008,0.016,2.16765660370274e-27
"AC007325.2",2.07036211229787e-27,-1.65958650508601,0.005,0.011,1.38897054922726e-26
"SLC9A3R1",6.18421564297321e-27,-1.25886380477895,0.006,0.013,4.05990725482935e-26
"SLC7A10",2.12318373685481e-26,-1.55490248583691,0.006,0.013,1.36132798065005e-25
"AC091814.2",6.2622913671531e-26,1.23369665904128,0.01,0.004,3.92593269208182e-25
"RP11-849I19.1",1.83631689458374e-25,-1.14696627117137,0.007,0.015,1.12040428294819e-24
"NKAIN4",7.88455598108261e-25,-1.01833542684007,0.014,0.024,4.69306293229551e-24
"HES1",3.81365663987172e-24,-1.12943937064215,0.015,0.025,2.20148260989146e-23
"KIAA1161",2.38591174956662e-23,-1.33089834878002,0.011,0.02,1.33486467283848e-22
"VIM",1.34893623665893e-21,-1.21416610179448,0.005,0.011,6.99201879030663e-21
"SALL3",6.16852917857317e-20,-1.21533072290875,0.004,0.01,2.98912806961705e-19
"GNA14-AS1",1.16866751740752e-19,-1.25957764908805,0.012,0.021,5.59977807759579e-19
"LAMB2",2.50156187825719e-18,-1.34378699528027,0.005,0.011,1.12235066849445e-17
"CLDN10",3.27253191473983e-18,-1.09309259047951,0.015,0.023,1.46030432880144e-17
"RP11-98J9.1",7.41871328758436e-18,-1.15973657023902,0.005,0.01,3.25487691085908e-17
"NUPR1",1.62640406594514e-17,-1.2237330663223,0.007,0.013,7.00092131881728e-17
"SLC38A3",3.91671053072604e-16,-1.32149518654635,0.006,0.012,1.55882751211734e-15
"SPR",2.3283175882713e-15,-1.14268714171086,0.005,0.01,8.84595554636124e-15
"CASKIN2",2.91623201160309e-15,-1.00809090561231,0.011,0.018,1.10287715398219e-14
"GADD45B",2.99721983968257e-15,-1.11337472318372,0.017,0.025,1.13150857513598e-14
"RHOU",3.15946080103785e-15,-1.06469026656404,0.014,0.021,1.1919177120535e-14
"FAM189A2",3.47551663309747e-15,-1.01039338773614,0.016,0.024,1.30700895777488e-14
"RHOC",2.35845657200207e-14,-1.22892893438989,0.007,0.012,8.44817910813447e-14
"HILPDA",1.68072601725243e-13,-1.36576950392233,0.015,0.022,5.72569111250955e-13
"CYP2J2",2.01827461069877e-13,-1.0509024572699,0.005,0.01,6.83432180120944e-13
"MMP15",2.44464228035664e-13,-1.00055433270561,0.012,0.019,8.23385645763628e-13
"RP11-263K19.4",2.96777636776785e-13,-1.2909700301287,0.009,0.014,9.96451143975705e-13
"CDC42EP2",2.97900121409267e-13,-1.24858212808091,0.006,0.011,9.999066105197e-13
"LCAT",5.33433754447123e-13,-1.134211894082,0.005,0.01,1.76504300344239e-12
"FIBIN",2.83488981450701e-12,-1.26886366497588,0.005,0.01,8.93849601901944e-12
"H2AFJ",3.27765030990125e-11,-1.08765742129317,0.006,0.01,9.63422370926805e-11
"SLC25A48",5.55889433487807e-11,-1.00533640996483,0.006,0.01,1.603607805705e-10
"BAG3",3.17525713577491e-10,-1.27793429443491,0.007,0.011,8.66302647127385e-10
"GJB1",3.81451409775506e-10,-1.10667791151747,0.006,0.01,1.03229866237301e-09
"FAM69C",5.06687549796602e-09,-1.00501533967339,0.009,0.013,1.26394654447516e-08
"PLTP",6.40809941509256e-09,-1.00486125362004,0.01,0.015,1.58596389774317e-08
"CHI3L1",2.59536968768657e-08,-1.10267681234455,0.021,0.028,6.12484379600747e-08
"C16orf89",3.89002472444083e-07,-1.41054596039458,0.007,0.01,8.30233563698388e-07
"ACKR3",3.44333792942474e-06,-1.23247022419106,0.007,0.01,6.77786562113846e-06
"AC105402.4",5.48314999284217e-06,-1.22507615762946,0.193,0.205,1.0605970215438e-05
